match_no,date,venue,group,match,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_defensive_pressure_applied,2_defensive_pressure_applied,Result,1_pass_success,2_pass_success,winning_pass_success,Team_1_Goals_Diff,Team_2_Goals_Diff
1,20-Nov-22,Al Bayt Stadium,Group A,QATAR vs ECUADOR,QATAR,ECUADOR,67372,0.3,1.2,0.47,0.53,0,2,"0,2",5,6,2,0,0,2,0,0,0,3,5,3,2,4,3,2,4,2,0,0,15,15,3,4,450,480,381,409,1,3,19,17,0,1,6,5,0,0,256,279,ECUADOR,0.8466666666666667,0.8520833333333333,0.8520833333333333,-0.3,0.8
2,21-Nov-22,Khalifa International Stadium,Group B,ENGLAND vs IRAN,ENGLAND,IRAN,45334,2.1,1.4,0.77,0.23,6,2,"6,2",13,8,2,6,6,2,0,0,7,3,3,4,10,6,3,2,0,2,0,0,9,14,2,2,809,224,730,154,8,0,16,10,0,1,8,13,0,0,139,416,ENGLAND,0.9023485784919654,0.6875,0.9023485784919654,3.9,0.6000000000000001
3,21-Nov-22,Al Thumama Stadium,Group A,SENEGAL vs NETHERLANDS,SENEGAL,NETHERLANDS,41721,0.9,0.7,0.46,0.54,0,2,"0,2",14,9,2,0,0,2,0,0,3,3,8,5,7,5,7,4,2,1,0,0,13,13,2,1,383,438,313,374,6,7,14,14,0,0,9,15,0,0,263,251,NETHERLANDS,0.8172323759791122,0.8538812785388128,0.8538812785388128,-0.9,1.3
4,21-Nov-22,Ahmed bin Ali Stadium,Group B,UNITED STATES vs WALES,UNITED STATES,WALES,43418,0.8,1.5,0.58,0.42,1,1,"1,1",6,7,1,1,1,1,0,0,1,3,4,3,4,5,2,2,4,2,0,0,15,10,1,1,569,409,509,321,5,3,11,15,0,1,7,7,0,0,242,292,Draw,0.8945518453427065,0.784841075794621,,0.19999999999999996,-0.5
5,22-Nov-22,Lusail Iconic Stadium,Group C,ARGENTINA vs SAUDI ARABIA,ARGENTINA,SAUDI ARABIA,88012,2.2,0.1,0.69,0.31,1,2,"1,2",14,3,2,1,1,2,0,0,6,2,5,0,10,3,4,0,0,6,0,0,7,21,10,1,610,267,529,190,9,2,22,16,1,0,4,14,0,0,163,361,SAUDI ARABIA,0.8672131147540983,0.7116104868913857,0.7116104868913857,-1.2000000000000002,1.9
6,22-Nov-22,Education City Stadium,Group D,DENMARK vs TUNISIA,DENMARK,TUNISIA,42925,1.4,0.9,0.61,0.39,0,0,"0,0",11,11,0,0,0,0,0,0,4,1,4,7,7,6,4,5,2,1,0,0,9,10,1,1,594,387,523,302,11,9,11,10,0,0,11,11,0,0,226,287,Draw,0.8804713804713805,0.7803617571059431,,-1.4,-0.9
7,22-Nov-22,Stadium 974,Group C,MEXICO vs POLAND,MEXICO,POLAND,39369,0.7,0.9,0.6,0.4,0,0,"0,0",13,8,0,0,0,0,0,0,4,1,5,4,10,7,3,1,2,1,0,0,14,16,3,0,485,322,422,241,6,5,16,16,0,0,8,15,0,0,193,290,Draw,0.8701030927835052,0.7484472049689441,,-0.7,-0.9
8,22-Nov-22,Al Janoub Stadium,Group D,FRANCE vs AUSTRALIA,FRANCE,AUSTRALIA,40875,4.0,0.5,0.62,0.38,4,1,"4,1",22,4,1,4,4,1,0,0,7,1,9,3,18,2,4,2,0,3,0,0,5,11,0,0,734,466,672,399,8,1,11,5,0,0,4,22,0,0,250,316,FRANCE,0.9155313351498637,0.8562231759656652,0.9155313351498637,0.0,0.5
9,23-Nov-22,Al Bayt Stadium,Group F,MOROCCO vs CROATIA,MOROCCO,CROATIA,59407,0.4,0.5,0.36,0.64,0,0,"0,0",8,6,0,0,0,0,0,0,2,2,0,2,3,4,5,2,1,0,0,0,17,11,0,1,360,667,290,592,0,5,12,17,0,0,7,8,0,0,391,217,Draw,0.8055555555555556,0.8875562218890555,,-0.4,-0.5
10,23-Nov-22,Khalifa International Stadium,Group E,GERMANY vs JAPAN,GERMANY,JAPAN,42608,3.1,1.5,0.74,0.26,1,2,"1,2",25,10,2,1,1,2,0,0,9,3,11,6,15,10,10,0,0,0,0,0,6,14,4,4,820,261,743,207,6,6,17,10,1,0,12,26,0,0,164,487,JAPAN,0.9060975609756098,0.7931034482758621,0.7931034482758621,-2.1,0.5
